time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-09-28T01:18:24.523Z,26.9509,-111.4476,10,5.4,mww,162,80,0.797,0.9,us,us6000inv3,2022-12-03T22:02:32.040Z,"53 km E of Mulegé, Mexico",earthquake,4.65,1.484,0.038,67,reviewed,us,us
2022-09-25T21:30:21.709Z,15.852,-88.4046,10,5.1,mwr,245,17,2.093,0.75,us,us7000iazy,2022-12-03T22:03:24.040Z,"24 km NE of Puerto Barrios, Guatemala",earthquake,2,1.735,0.052,36,reviewed,us,us
2022-09-25T01:29:12.825Z,14.7196,-93.6382,35,4.6,mb,49,112,1.06,1,us,us7000iav3,2022-12-03T22:03:21.040Z,"95 km SSW of La Esperanza (El Zapotal), Mexico",earthquake,2.45,1.912,0.04,191,reviewed,us,us
2022-09-24T15:27:19.530Z,17.0668,-99.0249,40.164,4.6,mb,39,161,0.66,0.86,us,us7000iarz,2022-12-03T22:03:20.040Z,"10 km NNE of San José la Hacienda, Mexico",earthquake,11.24,8.946,0.032,304,reviewed,us,us
2022-09-23T18:25:59.283Z,18.5021,-103.6506,41.467,5.2,mww,203,80,0.825,0.82,us,us7000iaj5,2022-11-26T20:57:59.040Z,"",earthquake,6.03,4.007,0.05,38,reviewed,us,us
2022-09-22T06:16:09.459Z,18.2633,-102.9554,20,6.8,mww,175,92,2.137,0.66,us,us7000ia36,2022-11-26T20:57:52.040Z,"55 km SSW of Aguililla, Mexico",earthquake,5.51,1.661,0.045,48,reviewed,us,us
2022-09-20T19:04:29.930Z,18.4895,-103.0573,27.105,4.9,mb,145,80,1.174,0.71,us,us7000i9ls,2022-11-26T20:57:47.040Z,"33 km SSE of Coalcomán de Vázquez Pallares, Mexico",earthquake,9.49,4.485,0.024,539,reviewed,us,us
2022-09-20T10:43:16.791Z,18.2354,-103.0207,17.08,4.9,mb,174,94,1.291,0.69,us,us7000i9i7,2022-11-26T20:57:45.040Z,"Colima-Michoacan border region, Mexico",earthquake,5.46,4.225,0.023,609,reviewed,us,us
2022-09-20T08:17:10.977Z,18.3487,-103.6243,16,5.8,mww,138,70,2.61,1.24,us,us7000i9hm,2022-11-26T20:57:45.040Z,"20 km S of La Placita de Morelos, Mexico",earthquake,7.02,1.711,0.029,112,reviewed,us,us
2022-09-20T06:19:03.850Z,18.2261,-103.211,10,4.5,mb,109,194,1.31,0.52,us,us7000i9fy,2022-11-26T20:57:44.040Z,"51 km SE of Aquila, Mexico",earthquake,6.88,1.978,0.038,202,reviewed,us,us
