time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-01-02T23:01:13.831Z,31.1665,141.7623,10,5.2,mww,89,55,2.551,0.7,us,us7000j1pz,2023-03-11T22:51:33.040Z,"Izu Islands, Japan region",earthquake,9.19,1.815,0.078,16,reviewed,us,us
2023-01-02T15:56:16.023Z,36.5797,142.4842,25.237,4.5,mb,49,127,3.442,0.6,us,us7000j1mf,2023-03-11T22:51:32.040Z,"152 km ESE of Iwaki, Japan",earthquake,8.35,4.01,0.118,21,reviewed,us,us
2023-01-01T21:55:08.183Z,31.3366,140.9507,56.524,4.5,mb,55,98,2.018,0.78,us,us7000j1hc,2023-03-11T22:51:30.040Z,"",earthquake,8.27,4.793,0.108,25,reviewed,us,us
2022-12-27T18:51:17.408Z,37.821,141.8199,57.41,4.6,mb,247,95,3.022,0.57,us,us7000j0ey,2023-03-07T18:59:53.040Z,"80 km SE of Ishinomaki, Japan",earthquake,4.45,4.702,0.038,215,reviewed,us,us
2022-12-26T23:44:34.503Z,37.6393,141.9524,38.891,4.5,mb,36,169,3.187,0.44,us,us6000jbvj,2023-03-07T18:59:51.040Z,"85 km ENE of Namie, Japan",earthquake,10.31,10.186,0.097,31,reviewed,us,us
2022-12-23T14:13:57.324Z,32.1519,142.6342,10,4.5,mb,46,123,2.566,0.45,us,us6000jbal,2023-02-28T23:06:47.040Z,"Izu Islands, Japan region",earthquake,4.79,1.894,0.103,29,reviewed,us,us
2022-12-22T16:39:58.702Z,41.5245,140.4836,10.652,5,mb,64,73,0.855,0.49,us,us6000jb3w,2023-02-28T23:06:44.040Z,"34 km SW of Hakodate, Japan",earthquake,2.61,3.896,0.101,34,reviewed,us,us
2022-12-18T15:02:04.441Z,35.3554,140.3617,32.872,4.5,mb,40,91,1.912,0.42,us,us6000ja5i,2023-02-28T23:06:27.040Z,"9 km SE of Mobara, Japan",earthquake,6.53,5.142,0.132,19,reviewed,us,us
2022-12-17T18:07:57.633Z,31.7711,131.2924,79.865,4.8,mb,44,136,0.762,0.75,us,us7000j0g3,2023-02-28T23:06:23.040Z,"19 km SW of Miyazaki, Japan",earthquake,11.83,7.707,0.099,33,reviewed,us,us
2022-12-17T18:06:02.988Z,31.7958,131.6429,30,5.6,mww,204,70,1.054,0.94,us,us6000ja1a,2023-02-28T23:06:23.040Z,"25 km ESE of Miyazaki, Japan",earthquake,5.03,1.8,0.069,20,reviewed,us,us
2022-12-17T12:36:36.946Z,32.3348,142.4498,10,4.6,mb,50,119,2.354,0.33,us,us6000j9zw,2023-02-28T23:06:21.040Z,"",earthquake,8.37,1.878,0.09,43,reviewed,us,us
2022-12-15T23:48:01.467Z,40.3866,143.3786,19.047,4.8,mb,96,51,1.635,0.63,us,us6000j9l6,2023-02-18T22:04:14.040Z,"147 km ENE of Miyako, Japan",earthquake,7.16,4.02,0.05,123,reviewed,us,us
2022-12-15T04:30:41.763Z,42.8462,140.3133,11.96,4.6,mb,53,56,2.091,0.28,us,us6000j9ca,2023-02-18T22:04:11.040Z,"21 km SW of Iwanai, Japan",earthquake,6.45,3.882,0.072,58,reviewed,us,us
2022-12-14T18:47:46.602Z,41.1186,143.2022,39.576,4.7,mb,34,141,0.896,0.63,us,us6000jacc,2023-02-18T22:04:19.040Z,"151 km SSE of Shizunai-furukawach?, Japan",earthquake,8.13,5.147,0.13,18,reviewed,us,us
2022-12-12T19:18:06.402Z,32.0293,141.7542,10,4.9,mb,108,50,1.964,0.69,us,us6000j8uj,2023-02-18T22:04:06.040Z,"Izu Islands, Japan region",earthquake,7.7,1.816,0.047,143,reviewed,us,us
2022-12-12T09:11:58.552Z,32.0145,140.9034,56.053,4.6,mb,54,100,1.432,1.02,us,us6000j8qw,2023-02-18T22:04:05.040Z,"Izu Islands, Japan region",earthquake,8.23,6.076,0.091,36,reviewed,us,us
2022-12-11T20:29:25.978Z,39.4407,142.012,54.073,4.6,mb,74,115,1.531,0.72,us,us6000j8na,2023-02-18T22:04:04.040Z,"6 km ESE of Yamada, Japan",earthquake,7.99,6.583,0.076,51,reviewed,us,us
2022-12-11T14:12:43.601Z,31.0191,141.7972,10,4.9,mb,56,122,2.684,0.66,us,us6000j8lk,2023-02-18T22:04:03.040Z,"Izu Islands, Japan region",earthquake,10.49,1.883,0.057,98,reviewed,us,us
2022-12-11T12:43:41.946Z,41.7719,144.4932,10,4.7,mb,62,134,1.027,0.59,us,us6000j8l7,2023-02-18T22:04:03.040Z,"133 km S of Kushiro, Japan",earthquake,6.53,1.873,0.084,43,reviewed,us,us
2022-12-11T12:03:17.850Z,41.7616,144.3778,10,4.9,mb,61,133,0.946,0.58,us,us6000j8l0,2023-02-18T22:04:03.040Z,"134 km S of Kushiro, Japan",earthquake,6.3,1.867,0.065,74,reviewed,us,us
2022-12-11T09:46:38.250Z,37.2172,141.663,27.661,4.8,mb,79,126,2.85,0.44,us,us6000j8kg,2023-02-18T22:04:03.040Z,"65 km ESE of Namie, Japan",earthquake,6.56,3.712,0.048,135,reviewed,us,us
2022-12-10T23:53:35.984Z,32.8768,141.6183,10,4.8,mww,169,58,1.535,0.68,us,us6000j8hx,2023-02-18T22:04:02.040Z,"279 km SSE of Katsuura, Japan",earthquake,6.74,1.781,0.078,16,reviewed,us,us
2022-12-08T02:42:52.683Z,33.5746,140.1496,102.318,4.5,mb,67,101,0.537,0.6,us,us6000j7th,2023-02-11T23:03:15.040Z,"158 km S of Tateyama, Japan",earthquake,7.13,5.246,0.092,35,reviewed,us,us
