"","","Nombre","Nacionalidad","Fecha de nacimiento","Edad","Creado por","Fecha de nombramiento","Titulus","Cargo"
"55",55,"Paul Poupard","Francia","30/08/1930","91 años","Juan Pablo II","27/05/1985","Cardenal presbítero de Santa Práxedes","Presidente emérito del Consejo Pontificio para la Cultura y presidente emérito del Consejo Pontificio para el Diálogo Interreligioso"
"56",56,"Jānis Pujats","Letonia Letonia","14/11/1930","91 años","Juan Pablo II","21/02/1998","Cardenal presbítero de Santa Silvia","Arzobispo emérito de Riga"
"57",57,"Orlando B. Quevedo, O.M.I.","Filipinas Filipinas","11/03/1939","83 años","Francisco","22/02/2014","Cardenal presbítero de Santa María ""Regina Mundi"" en Torre Spaccata","Arzobispo emérito de Cotabato"
"58",58,"Béchara Boutros Raï, O.M.M.","Líbano Líbano","25/02/1940","82 años","Benedicto XVI","24/11/2012","Cardenal patriarca oriental","Patriarca de Antioquía de los Maronitas (Iglesia católica maronita)"
"59",59,"Karl-Josef Rauber","Alemania Alemania","11/04/1934","88 años","Francisco","14/02/2015","Cardenal diácono de San Antonio de Padua en la Circunvalación Appia","Nuncio Apostólico Emérito de Bélgica"
"60",60,"Giovanni Battista Re","Italia Italia","30/01/1934","88 años","Juan Pablo II","21/02/2001","Cardenal obispo de Ostia Cardenal obispo de Sabina-Poggio Mirteto","Decano del colegio cardenalicio
Prefecto emérito de la Congregación para los Obispos y presidente emérito de la Pontificia Comisión para América Latina"
"61",61,"Justin Francis Rigali","Estados Unidos","19/04/1935","87 años","Juan Pablo II","21/10/2003","Cardenal presbítero de San Priscila","Arzobispo emérito de Filadelfia"
"62",62,"Norberto Rivera Carrera","MéxicoMéxico","06/06/1942","80 años","Juan Pablo II","21/02/1998","Cardenal presbítero de San Francesco d'Assisi a Ripa Grande","Arzobispo emérito de México"
"63",63,"Franc Rodé, C.M.","Eslovenia Eslovenia","23/09/1934","87 años","Benedicto XVI","24/03/2006","Cardenal diácono de San Francisco Javier en Garbatella","Prefecto emérito de la Congregación para los Institutos de Vida Consagrada y las Sociedades de Vida Apostólica"
"64",64,"Paolo Romeo","Italia Italia","20/02/1938","84 años","Benedicto XVI","20/11/2010","Cardenal presbítero de Santa María Odigitria de los Sicilianos","Arzobispo emérito de Palermo"
"65",65,"Gaudencio Borbon Rosales","Filipinas Filipinas","10/08/1932","90 años","Benedicto XVI","24/03/2006","Cardenal presbítero en Santísimo Nombre de María en Vía Latina","Arzobispo emérito de Manila"
"66",66,"Antonio María Rouco Varela","España España","24/08/1936","85 años","Juan Pablo II","21/02/1998","Cardenal presbítero de San Lorenzo en Dámaso","Arzobispo emérito de Madrid"
"67",67,"Pedro Rubiano Sáenz","Colombia Colombia","13/09/1932","89 años","Juan Pablo II","21/02/2001","Cardenal presbítero de Transfiguración de Nuestro Señor Jesucristo","Arzobispo emérito de Bogotá"
"68",68,"Camillo Ruini","Italia Italia","19/02/1931","91 años","Juan Pablo II","28/06/1991","Cardenal presbítero de Santa Inés Extramuros","Vicario general emérito de Su Santidad para la Diócesis de Roma y arcipreste emérito de la Basílica Papal de Letrán"
"69",69,"Juan Sandoval Iñiguez","MéxicoMéxico","28/03/1933","89 años","Juan Pablo II","26/11/1994","Cardenal presbítero de Nuestra Señora de Guadalupe y San Felipe mártir en Vía Aurelia","Arzobispo emérito de Guadalajara"
"70",70,"José Saraiva Martins, C.M.F.","Portugal","06/01/1932","90 años","Juan Pablo II","21/02/2001","Cardenal obispo de Palestrina","Prefecto emérito de la Congregación para las Causas de los Santos"
"71",71,"Théodore-Adrien Sarr","Senegal Senegal","28/11/1936","85 años","Benedicto XVI","24/11/2007","Cardenal presbítero de Santa Lucía en Piazza d'Armi","Arzobispo emérito de Dakar"
"72",72,"Angelo Scola","Italia Italia","07/11/1941","80 años","Juan Pablo II","21/10/2003","Cardenal presbítero deSantos XII Apóstoles","Arzobispo emérito de Milán"
"73",73,"Sergio Sebastiani","Italia Italia","11/04/1931","91 años","Juan Pablo II","21/02/2001","Cardenal presbítero pro hac vice de San Eustaquio","Presidente emérito de la Prefectura de los Asuntos Económicos de la Santa Sede"
"74",74,"Ernest Simoni","AlbaniaAlbania","18/10/1928","93 años","Francisco","19/11/2016","Cardenal diácono de Santa María della Scala","Sacerdote"
"75",75,"James Francis Stafford","Estados Unidos","26/07/1932","90 años","Juan Pablo II","21/02/1998","Cardenal presbítero de San Pedro del Monte de Oro","Penitenciario mayor emérito de la Penitenciaría Apostólica
Arzobispo emérito de Denver"
"76",76,"Beniamino Stella","Italia Italia","18/08/1941","80 años","Francisco","22/02/2014","Cardenal obispo de Porto-Santa Rufina","Prefecto emérito de la Congregación para el Clero"
"77",77,"Alberto Suárez Inda","MéxicoMéxico","30/01/1939","83 años","Francisco","14/02/2015","Cardenal Presbítero de San Policarpo","Arzobispo emérito de Morelia"
"78",78,"Sigitas Tamkevičius, S.J.","Lituania Lituania","7/11/1938","83 años","Francisco","5/10/2019","Cardenal presbítero de Santa Ángela de Merici","Arzobispo Emérito de Kaunas"
"79",79,"Toribio Ticona Porco","Bolivia Bolivia","25/04/1937","85 años","Francisco","28/06/2018","Cardenal presbítero de Santos Joaquín y Ana en Tuscolano","Prelado Emérito de Corocoro"
"80",80,"Silvano Maria Tomasi, C.S.","Italia Italia","12/10/1940","81 años","Francisco","28/11/2020","Cardenal Diácono de San Nicolás en Cárcel","Nuncio Apostólico  Delegado especial de la Orden de Malta"
"81",81,"John Tong Hon","Hong Kong China China","31/07/1939","83 años","Benedicto XVI","18/02/2012","Cardenal presbítero deRegina Apostolorum","Administrador apostólico de Hong Kong"
"82",82,"Placidus Toppo","India","15/10/1939","82 años","Juan Pablo II","21/10/2003","Cardenal Presbítero de Sagrado Corazón de Jesús Agonizante en Vitinia","Arzobispo emérito de Ranchi"
"83",83,"Agostino Vallini","Italia Italia","17/04/1940","82 años","Benedicto XVI","24/03/2006","Cardenal presbítero pro hac vice de San Pedro Damián en los Montes de San Pablo","Pontificio legado para las Basílicas de San Francisco y Santa María de los Ángeles en Asís
vicario general emérito de Su Santidad para la Diócesis de Roma y arcipreste de la Basílica de San Juan de Letrán"
"84",84,"Antonio Maria Vegliò","Italia Italia","03/02/1938","84 años","Benedicto XVI","18/02/2012","Cardenal presbítero pro hac vice de San Cesáreo en Palatio","Presidente emérito del Pontificio Consejo para la Pastoral de los Emigrantes e Itinerantes"
"85",85,"Luis Héctor Villalba","Argentina","11/10/1934","87 años","Francisco","14/02/2015","Cardenal presbítero de San Jerónimo en Corviale","Arzobispo emérito de Tucumán"
"86",86,"Emmanuel Wamala","Uganda Uganda","15/12/1926","95 años","Juan Pablo II","26/11/1994","Cardenal Presbítero de San Hugo","Arzobispo emérito de Kampala"
"87",87,"Friedrich Wetter","Alemania Alemania","20/02/1928","94 años","Juan Pablo II","25/05/1985","Cardenal presbítero de San Esteban en Monte Celio","Arzobispo emérito de Múnich"
"88",88,"Thomas Stafford Williams","Nueva Zelanda Nueva Zelanda","20/03/1930","92 años","Juan Pablo II","2/02/1983","Cardenal presbítero de Jesús Divino Maestro en Pineta Sacchetti","Arzobispo emérito de Wellington"
"89",89,"Donald William Wuerl","Estados Unidos","12/11/1940","81 años","Benedicto XVI","20/11/2010","Cardenal presbítero de San Pedro en Vincoli","Arzobispo emérito de Washington"
"90",90,"Joseph Zen Ze-kiun, S.D.B.","Hong KongChina China","13/01/1932","90 años","Benedicto XVI","24/03/2006","Cardenal presbítero de
Santa María Madre del Redentor en Tor Bella Monaca","Obispo emérito de Hong Kong"
"91",91,"Gabriel Zubeir Wako","Sudán","27/02/1941","80 años","Juan Pablo II","21/10/2003","Cardenal presbítero de San Atanasio en Vía Tiburtina","Arzobispo emérito de Jartum"
